decay	N	score	recall	spec
31/32	100	0.794	0.700	0.900
31/32	120	0.794	0.700	0.900
31/32	130	0.822	0.750	0.900
31/32	133	0.704	0.550	0.900
31/32	134	0.849	0.800	0.900
31/32	135	0.794	0.700	0.900
31/32	136	0.822	0.750	0.900
31/32	137	0.704	0.550	0.900
31/32	138	0.765	0.650	0.900
31/32	139	0.765	0.650	0.900
31/32	140	0.794	0.700	0.900
31/32	143	0.900	0.900	0.900
31/32	145	0.822	0.750	0.900
31/32	150	0.875	0.850	0.900
31/32	155	0.925	0.950	0.900
31/32	160	0.875	0.900	0.850
31/32	170	0.900	0.900	0.900
31/32	180	0.949	1.000	0.900
31/32	200	0.949	1.000	0.900
63/64	100	0.794	0.700	0.900
63/64	120	0.794	0.700	0.900
63/64	130	0.822	0.750	0.900
63/64	133	0.704	0.550	0.900
63/64	134	0.849	0.800	0.900
63/64	135	0.794	0.700	0.900
63/64	136	0.822	0.750	0.900
63/64	137	0.704	0.550	0.900
63/64	138	0.765	0.650	0.900
63/64	139	0.765	0.650	0.900
63/64	140	0.794	0.700	0.900
63/64	143	0.900	0.900	0.900
63/64	145	0.822	0.750	0.900
63/64	150	0.875	0.850	0.900
63/64	155	0.925	0.950	0.900
63/64	160	0.875	0.900	0.850
63/64	170	0.900	0.900	0.900
63/64	180	0.949	1.000	0.900
63/64	200	0.949	1.000	0.900
127/128	100	0.794	0.700	0.900
127/128	120	0.794	0.700	0.900
127/128	130	0.822	0.750	0.900
127/128	133	0.704	0.550	0.900
127/128	134	0.849	0.800	0.900
127/128	135	0.794	0.700	0.900
127/128	136	0.822	0.750	0.900
127/128	137	0.704	0.550	0.900
127/128	138	0.765	0.650	0.900
127/128	139	0.765	0.650	0.900
127/128	140	0.794	0.700	0.900
127/128	143	0.900	0.900	0.900
127/128	145	0.822	0.750	0.900
127/128	150	0.875	0.850	0.900
127/128	155	0.925	0.950	0.900
127/128	160	0.875	0.900	0.850
127/128	170	0.900	0.900	0.900
127/128	180	0.949	1.000	0.900
127/128	200	0.949	1.000	0.900
